Program Type,Start Year,Region,Highway,Location,Type Of Work,Highway Program Status,Target Completion,Contract #,Project Length (kilometres),Estimated Cost Range,Engineering Status,Delivery Method
Expansion,Upcoming expansion,"North, East",69,"Patrol yard on Hwy 529 interchange, Pointe Au Baril",New facility,Planned,Not available,,0,$10 to $25 million,Design upcoming,To be determined
Expansion,Upcoming expansion,"North, East",69,"Hwy 69 connection to Sudbury southeast bypass, Sudbury",Two to four-lane widening,Planned,Not available,,6.2,$100 to $250 million,Design upcoming,To be determined
Expansion,Upcoming expansion,"North, East",69,"South junction of Hwy 529 northerly, Pointe au Baril","Two to four-lane widening, New bridge, New culvert",Planned,Not available,,15,$100 to $250 million,Design upcoming,To be determined
Expansion,Upcoming expansion,"North, East",652,"Cochrane Bypass, extension of Hwy 652, Genier Rd. to Hwy 11, Cochrane",New two-lane highway,Planned,Not available,,4.5,$25 to $100 million,Design underway,To be determined
Expansion,Upcoming expansion,"North, East",69,"North of Hwy 559, northerly, Nobel",Two to four-lane widening,Planned,Not available,,12.2,$100 to $250 million,Design in procurement,To be determined
Expansion,Upcoming expansion,"North, East",69,"North Hwy 7182 (Shebeshegong Rd.), northerly, Pointe au Baril",Two to four-lane widening,Planned,Not available,,11,$100 to $250 million,Design upcoming,To be determined
Expansion,Upcoming expansion,"North, East",69,"North of the north junction of Hwy 529, northerly, Britt",Two to four-lane widening,Planned,Not available,,20.4,$250 to $500 million,Design underway,To be determined
Expansion,2022,"North, West","11, 11/17","Hwy 587 easterly to Pearl Lake including Pearl River Bridges, Shuniah","Two to four-lane widening, New bridge, Illumination",Completed,2026,2021-6049,14,$100 to $250 million,Design complete,Design-Bid-Build
Expansion,2022,"North, West","11, 11/17","Coughlin Rd. westerly to Hwy 582 east junction including Valley Creek Culvert, west of Red Rock","Two to four-lane widening, New culvert, Culvert replacement, Illumination",Completed,2025,2022-6003,6.5,$25 to $100 million,Design complete,Design-Bid-Build
Expansion,2026,"North, West","11, 17","McGuire Rd. westerly to Coughlin Rd. including Black Sturgeon River Bridges, Red Rock","Two to four-lane widening, New bridge, Bridge removal, Illumination",Planned,Not available,2024-6011,5,$25 to $100 million,Design underway,Design-Bid-Build
Expansion,2026,"North, West",17,"West of Hwy 673 easterly including Moth Lake culverts, west of Kenora","Two to four-lane widening, New culvert, Illumination",Planned,Not available,2024-6013,11,$100 to $250 million,Planning/environmental assessment underway,Design-Bid-Build
Expansion,2027-2028,"North, West","11, 17","Pearl Lake easterly to west of CPR overhead at Ouimet, Shuniah",Two to four-lane widening,Planned,Not available,,7.6,$25 to $100 million,Design underway,Design-Bid-Build
Rehab,2023,"North, East",17,Thessalon to Iron Bridge,"Culvert replacement, Resurfacing, Intersection improvements, Culvert rehabilitation",Underway,2026,2023-5001,33.3,$25 to $100 million,Design complete,Design-Build
Rehab,2024,"North, East",11,"Birches Rd. overpasses and CNR overheads, south of North Bay",Bridge rehabilitation,Underway,2026,2024-5012,0,$0 to $10 million,Design complete,Design-Bid-Build
Rehab,2024,"North, East",11,"Englehart River Bridge northerly to Hwy 112, Englehart","Paved shoulders, Culvert replacement, Resurfacing",Underway,2026,2024-5005,21.1,$25 to $100 million,Design complete,Design-Bid-Build
Rehab,2024,"North, East",11,"North junction of Hwy 65 northerly to Hwy 569, north of New Liskeard","Resurfacing, Paved shoulders",Completed,2025,2022-5037,11,$10 to $25 million,Design complete,Design-Bid-Build
Rehab,2024,"North, East",17,"Rest area, 2.5 km east of Hwy 563, Batchewana",Facility improvements,Completed,2025,2023-5011,0,$0 to $10 million,Design complete,Design-Bid-Build
Rehab,2024,"North, East",69,"4.4 km north of Hwy 7182 northerly to 1.1 km south of Beckanon Rd., Pointe au Baril",Resurfacing,Completed,2025,2024-5073,36.5,$10 to $25 million,Design complete,Design-Bid-Build
Rehab,2024,"North, East",11,"Matheson to the west junction of Hwy 101, east of Timmins","Paved shoulders, Culvert replacement, Culvert rehabilitation, Resurfacing",Completed,2025,2023-5003,6.4,$10 to $25 million,Design complete,Design-Bid-Build
Rehab,2024,"North, East",11,"ONR overhead, Earlton",Bridge replacement,Underway,2026,2024-5009,0,$25 to $100 million,Design complete,Design-Bid-Build
Rehab,2024,"North, East",11,"McCarthy St. underpass, McFadden Line underpass and  Hwy 522 underpass, Trout Creek",Bridge rehabilitation,Underway,2026,2024-5011,0,$0 to $10 million,Design complete,Design-Bid-Build
Rehab,2024,"North, East",101,"Mattawasaga River Bridge and Ghost River Bridge, east of Matheson",Bridge rehabilitation,Underway,2026,2024-5007,0,$10 to $25 million,Design complete,Design-Bid-Build
Rehab,2024,"North, East",11,Kapuskasing easterly to west of Fauquier,"Resurfacing, Culvert rehabilitation, Paved shoulders",Underway,2026,2023-5095,24.8,$25 to $100 million,Design complete,Design-Bid-Build
